year,month,county,abrState,name,CAT,recovery,numInMonth,numInSeason,recoverCount,prevProd,Production,vmax,mslp,time,takeupTotal,ratePoverty,houseMedianValue,houseOccupied,houseTotal,sumBuildingCoverage,policyCount
2013,6,Halifax County,NC,andrea,EX,2,1,1,1,255999.339,250553.905,40,997,0.428571429,0.00155521,22,86100,21550,25720,6783900,40
2015,5,Halifax County,NC,ana,TD,2,1,1,1,92965.067,87114.317,30,1011,1.2,0.001010926,20.9,27,21468,25719,3666000,26
2018,10,Halifax County,NC,michael,EX,2,1,1,1,100186.179,153317.595,50,989,0.545454545,7.72E-05,19.9,41,21116,25919,279000,2
2019,10,Halifax County,NC,nestor,EX,2,1,1,1,57864.778,48250.476,40,1002,0.666666667,3.86E-05,19.9,41,21116,25919,250000,1
2018,9,Henderson County,NC,florence,TD,2,1,1,1,3709.105,3376.586,25,1008,0.666666667,0.000158064,7.1,267,48281,56939,1981600,9
2013,6,Hertford County,NC,andrea,EX,12,1,1,1,1085.799,1096.309,40,997,0.428571429,0.001419379,20.2,84200,8624,10568,2255500,15
2015,5,Hertford County,NC,ana,TD,2,1,1,1,896.556,1238.773,30,1012,1.2,0.000662628,21.7,30,8651,10564,846500,7
2011,8,Hyde County,NC,irene,H1,2,1,1,1,8.659,9.842,65,950,4.5,0.154438964,28.6,93600,2025,3244,63987700,501
2016,9,Hyde County,NC,hermine,EX,2,1,1,1,-3.452,-3.026,60,994,1.2,0.051457466,22.5,0,1936,3362,25398900,173
2016,9,Hyde County,NC,julia,EX,2,2,2,1,-3.452,-3.026,25,1011,9,0.051457466,22.5,0,1936,3362,25398900,173
2016,9,Jones County,NC,hermine,TS,2,1,1,1,0,0,55,993,2.057142857,0.004935225,17.7,20,4141,4863,3413600,24
2018,9,Madison County,NC,florence,TD,2,1,1,1,72.756,70.253,25,1008,0.666666667,9.18E-05,10.8,96,8452,10892,250000,1
